,particle_id,particle_type,vx,vy,vz,px,py,pz,q,nhits,pt
0,4503668346847232,-211,0.0405124,0.0272868,6.03927,-0.505992,-1.59523,1.72873,-1,11,1.6735551
1,4503805785800704,321,0.0405124,0.0272868,6.03927,30.0967,8.19713,109.326,1,10,31.193018
2,4503874505277440,211,0.0405124,0.0272868,6.03927,24.1232,6.50243,88.1575,1,10,24.984203
3,4503943224754176,-211,0.0405124,0.0272868,6.03927,0.634312,-0.058675,2.10242,-1,12,0.63702
4,4504011944230912,321,0.0405124,0.0272868,6.03927,2.90297,1.10072,9.26009,1,13,3.104645
5,4504286822137856,211,0.0405124,0.0272868,6.03927,0.130955,-0.205292,0.112255,1,9,0.24350363
6,4504355541614592,-211,0.0405124,0.0272868,6.03927,1.11353,0.179386,-0.568658,-1,10,1.1278868
7,4504424261091328,321,0.0405124,0.0272868,6.03927,1.0527,0.0272875,0.131887,1,15,1.0530536
8,4504492980568064,-211,0.0405124,0.0272868,6.03927,0.0623966,-0.0936594,-0.098005,-1,0,0.112540744
9,4504561700044800,211,0.0405124,0.0272868,6.03927,-1.8291,-1.07281,4.57642,1,11,2.1205018
10,4504630419521536,-211,0.0405124,0.0272868,6.03927,-0.415518,-0.517497,1.9229,-1,3,0.66367036
11,4504699138998272,321,0.0405124,0.0272868,6.03927,-5.16536,-2.51553,14.3208,1,11,5.745332
12,4504767858475008,-211,0.0405124,0.0272868,6.03927,-3.13834,-1.45512,10.0381,-1,4,3.4592705
13,4504836577951744,211,0.0405124,0.0272868,6.03927,-1.36663,-0.968183,3.9648,1,14,1.6748301
14,4504974016905216,211,0.0405124,0.0272868,6.03927,-0.481257,-0.602996,-13.1584,1,14,0.7715001
15,4505111455858688,211,0.0405124,0.0272868,6.03927,-0.134849,-0.304478,-0.881585,1,10,0.33300313
16,4505180175335424,-211,0.0405124,0.0272868,6.03927,-0.313747,0.944407,-11.1481,-1,13,0.99515915
17,4505248894812160,211,0.0405124,0.0272868,6.03927,0.218488,0.85391,-8.60634,1,12,0.88141894
18,4505317614288896,211,0.0405124,0.0272868,6.03927,-1.29183,0.332261,-13.12,1,11,1.3338748
19,4505386333765632,2212,0.0405124,0.0272868,6.03927,-1.09408,0.449717,-4.69567,1,12,1.1829016
20,4505455053242368,-2212,0.0405124,0.0272868,6.03927,-0.786705,1.1213,-3.40133,-1,12,1.3697512
21,4505523772719104,211,0.0405124,0.0272868,6.03927,3.2374,0.822557,16.0701,1,6,3.3402631
22,4505592492195840,-211,0.0405124,0.0272868,6.03927,0.174893,0.0562175,2.36924,-1,0,0.18370621
23,4505661211672576,211,0.0405124,0.0272868,6.03927,0.889488,0.076196,12.2904,1,11,0.8927456
24,4505729931149312,-211,0.0405124,0.0272868,6.03927,9.48223,2.64716,132.725,-1,12,9.844803
25,4505798650626048,-211,0.0405124,0.0272868,6.03927,-0.444074,-0.598001,-2.24685,-1,9,0.7448536
26,4505936089579520,-211,0.0405124,0.0272868,6.03927,0.284207,-0.0643809,2.57131,-1,15,0.29140782
27,4506004809056256,211,0.0405124,0.0272868,6.03927,-0.329697,0.649996,1.21766,1,12,0.7288312
28,4506142248009728,211,0.0405124,0.0272868,6.03927,0.274,0.274194,2.85667,1,14,0.38763168
29,4506210967486464,-211,0.0405124,0.0272868,6.03927,0.613363,-0.313896,1.15044,-1,10,0.68901736
30,4506829442777088,-211,0.0405124,0.0272868,6.03927,-1.34799,-0.00867545,24.7799,-1,16,1.3480179
31,4507035601207296,211,0.0405124,0.0272868,6.03927,-0.542907,0.229162,2.66882,1,12,0.58929044
32,4507104320684032,-211,0.0405124,0.0272868,6.03927,-0.649154,-0.591076,13.1824,-1,13,0.8779361
33,4507173040160768,211,0.0405124,0.0272868,6.03927,-1.26162,-0.610828,7.46544,1,11,1.4017118
34,4507241759637504,-211,0.0405124,0.0272868,6.03927,0.0476859,0.210689,0.294498,-1,8,0.21601804
35,4507310479114240,211,0.0405124,0.0272868,6.03927,-0.0264569,-0.156927,0.562574,1,8,0.15914162
36,4507379198590976,-211,0.0405124,0.0272868,6.03927,-2.27819,-1.71139,4.53807,-1,10,2.849387
37,4507654076497920,2212,0.0405124,0.0272868,6.03927,0.897093,0.875262,1.43532,1,3,1.2533393
38,4507791515451392,211,0.0405124,0.0272868,6.03927,0.329547,-0.142184,-1.5848,1,13,0.35891157
39,4507997673881600,-211,0.0405124,0.0272868,6.03927,-0.721579,-1.91545,2.9741,-1,12,2.0468574
40,4508066393358336,211,0.0405124,0.0272868,6.03927,0.375903,0.00742106,1.36597,1,14,0.37597626
41,4508135112835072,-211,0.0405124,0.0272868,6.03927,0.722084,-0.999249,6.23076,-1,13,1.2328438
